FieldID,Var1,Var2,Var3,Var4,Var5,Var6
2,31.5,7.875,2.94,77,20,0
3,35,88,1.44,28,2,0
4,77.5,19.375,1.95,33,14,0
5,29.125,7.28125,3.53,63,12,0
6,76.5,19.125,2.02,20,12,0
7,70.5,17.625,1.46,26,13,0
8,37.5,71,1.02,30,7,0
9,48.5,99,1.51,27,3,0
10,56.5,14.125,1.25,15,5,0
11,33.375,8.34375,2.48,37,29,0
12,55,13.75,1.61,82,11,0
13,37.5,9.375,1.18,27,6,0
14,73.5,18.375,1.71,26,7,0
15,85.5,21.375,2.21,62,7,0
16,67.5,16.875,1.83,25,6,0
17,62,15.5,2.14,53,4,0
18,60,15,1.22,29,5,0
19,83.5,20.875,1.92,22,9,0
20,63.5,15.875,1.47,17,8,0
21,72.5,18.125,1.44,34,7,0
22,38.5,9.625,1.33,22,2,0
23,45,11.25,1.19,11,3,0
24,81.5,20.375,2.35,59,10,0
25,89.5,22.375,2.34,48,17,0
26,76.5,19.125,1.61,34,8,0
27,89.5,22.375,2.32,31,7,0
28,74,18.5,2.37,31,7,0
29,39,9.75,1.32,19,4,0
30,34.5,87,0.89,20,11,0
31,31.25,7.8125,3.19,56,17,0
32,61.5,15.375,1.73,28,9,0
33,30,88,1.02,24,9,0
34,56,14,1.31,38,8,0
35,41,90,1.74,35,6,0
36,29.5,90,1.42,31,6,0
37,49,12.25,1.27,24,5,0
38,53.5,13.375,1.26,36,7,0
39,31,98,0.97,16,4,0
40,64.5,95,1.77,72,10,0
41,84,21,2.19,43,9,0
42,31,7.75,2.82,59,10,0
43,75,18.75,2,51,5,0
44,83.5,20.875,2.38,51,9,0
45,66.5,16.625,1.73,65,5,0
46,86.5,21.625,1.85,46,7,0
47,68,17,1.86,43,12,0
48,65,16.25,1.75,53,10,0
49,41,10.25,1.39,31,4,0
50,80.5,20.125,2.05,40,11,0
51,66.5,16.625,1.98,41,11,0
52,54,94,1.34,46,4,0
53,59.5,14.875,1.57,25,7,0
54,92,23,2.93,65,11,0
55,55.5,13.875,1.65,29,14,0
56,35,78,0.97,32,1,0
57,76.5,19.125,1.89,66,6,0
58,32.5,89,0.85,21,0,0
59,59.5,14.875,1.27,53,13,0
60,56.5,14.125,1.91,45,5,0
61,32.5,78,0.8,31,5,0
62,45.5,83,1.51,30,9,0
63,66,16.5,1.83,55,7,0
64,34.375,8.59375,3.64,47,14,0
65,84.5,21.125,2,46,6,0
